id,from_node,to_node,length
0,producers-0,forks-0,20
1,producers-1,forks-5,20
2,forks-0,forks-1,10
3,forks-1,forks-2,20
4,forks-2,forks-3,20
5,forks-3,forks-4,10
6,forks-4,forks-5,10
7,forks-5,forks-6,30
8,forks-6,forks-7,30
9,forks-7,forks-8,30
10,forks-8,forks-9,20
11,forks-9,forks-10,10
12,forks-10,forks-0,30
13,forks-2,consumers-0,10
14,forks-2,consumers-1,10
15,forks-3,consumers-2,10
16,forks-4,consumers-3,10
17,forks-7,consumers-4,10
18,forks-8,consumers-5,10
19,forks-10,consumers-7,10
20,forks-10,consumers-6,10
