DN number;Inner diameter [m];Max delta p [Pa/m];Roughness [mm];T_forward [Celsius];T_return [Celsius];Temperature level [Celsius];Costs [eur];;Loss [W/m]
25;0.025;150;0.05;80;50;65;56.7;7,65;7.56
32;0.032;150;0.05;80;50;65;67.1;8,58;8.58
40;0.04;150;0.05;80;50;65;84.5;9,55;9.55
50;0.05;150;0.05;80;50;65;123.8;9,18;9.18
63;0.063;150;0.05;80;50;65;165.5;10,79;10.79
75;0.075;150;0.05;80;50;65;185.7;15,01;15.01
90;0.09;150;0.05;80;50;65;279.2;19,14;19.14
110;0.11;150;0.05;80;50;65;378.2;21,87;21.87
125;0.125;150;0.05;80;50;65;439.4;26,95;26.95
140;0.14;150;0.05;80;50;65;596.4;33,9;33.90
160;0.16;150;0.05;80;50;65;618.8;33,31;33.31
